Group Pattern,Confidence,Company Code,Vendor,Group Value,Amount Overbooked,Group Contains,Earliest Due Date,Group UUID
Similar Value,High,3000,0000001910 - Acme Corportion,17281.43596,8613.119279,All Open,3/11/2025,dd1d3dd8183f13ece175a6510a820e74ed329955d22a1432f7dc8661e5ce0c1f
Similar Value,High,3000,0000003745 - Destec Office Supplies,14477.75737,7215.500918,All Open,,aa61e1bb21f337e37a6281eccbab741687c7e564991bc4af0f02f4999bf98338
Similar Value,High,3000,0000100128 - Global Business Properties,14250.53154,7114.410041,All Cleared,3/12/2025,2fe2d39a7abda76e4ddfe8a231a280a42887a841a1494f14dd7e300397f59947
Similar Reference,High,3000,0000000300 - AluCast,13652.82429,6826.412144,All Open,,a9eeaef204585c93c03e566eb01a56f5ac031ec8c6652046942959e7aa7c4274
Similar Value,High,3000,0000071201 - Manhattan Corporation,13235.88834,6604.413433,All Open,2/26/2025,177201473d296660a17f3ab1e2937d23f7f19dd5138b1a71119b496e14fabd9a
Similar Value,High,3000,0000100128 - Global Business Properties,13218.69712,6604.413433,All Cleared,,6209990067dc91a734efc8bd55d1083405631a13a8f189933ede7a1b756b4819
Similar Reference,High,3000,0000200016 - State of California,13208.82687,6604.413433,All Cleared,3/13/2025,8a8d5ae602202a32e028382502c105bb9f93b777457ca5734ef2a55402223d3f
Exact Match,High,3000,0000005900 - Enigma,13208.82687,6604.413433,All Open,,9ac62da41201f3036c312a229d9af97b3fa6c9491385ba8791ea6220285d092e
Exact Match,High,3000,0000005560 - IOT Furnitures Inc.,13208.82687,6604.413433,All Open,3/3/2025,9e2baecc878ccb0a96ba4339bcbbf28ae2afa1b81f3764af50acac7f69436065
Exact Match,High,3000,0000003920 - Pyramid Systems,13208.82687,6604.413433,All Open,,a6ba84e296db75afdf3654b716787eb85144093ddc3f2c4d2b50e9565af4337f
Exact Match,High,3000,0000071809 - WCB - Quebec,13208.82687,6604.413433,All Open,3/3/2025,f636db84a8a81db42ce6d33badf61308b14e5143f8356d030ebbda7ba57c090d
Similar Date,High,3000,0000100128 - Global Business Properties,10859.34378,5429.671888,All Cleared,,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7
Similar Value,High,3000,0000010099 - Noe Food Company,10660.88191,5308.752121,All Open,3/9/2025,b829d8c945e7e3f200da8c6aff6b13c9db6f2341527be11b9811b4f98c3111eb
Exact Match,High,3000,0000100128 - Global Business Properties,2574.727759,1716.485173,All Cleared,,58c74386c1489a534c4749300abb1e90be2b577e275b8766e467349cde83bfcf
Similar Vendor,High,3000,Multiple,1800,1200,All Open,3/2/2025,16a05200dda84a6df12d1ddf3a28a496cc4e67faa918e62a0135beeab4335810
Exact Match,High,3000,0000100128 - Global Business Properties,1800,1200,All Cleared,,21dbf894460e0c4aea69dbf77f82fb8027da01b7abd156e8cf2a8daf5ab0a888
Exact Match,High,3000,0000100128 - Global Business Properties,1800,1200,All Cleared,3/12/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270
